cell,long,lat,biomass,sr,evesimpson,jac,depth,chl,sst.sea,sst,pielou.sed,effort,feeding.mode_benthivorous,tl
17513,-4.25,46.25,546694.5865,24.96,0.072125601,0.621889743,311,0.491575922,0.187660797,15.25708887,0.25293478,62661.87122,0.330542961,3.957559681
17514,-3.75,46.25,349084.1135,22.38,0.072335799,0.60869624,103,0.505371068,0.196458088,15.26689314,0.207522594,104115.7353,0.314703998,3.9635365
17515,-3.25,46.25,220668.7848,26.43,0.101168958,0.566222427,103,0.571174187,0.196458088,15.26689314,0.120432888,171248.3931,0.391897969,3.873370998
17516,-2.75,46.25,160246.0771,29.35,0.104778346,0.576799726,104,0.762164861,0.2055815,15.26415573,0.177400294,511536.7253,0.38032732,3.812707683
17517,-2.25,46.25,98183.31764,32.3,0.101687175,0.593617242,40,0.984428553,0.2055815,15.26415573,0.183962042,1535225.181,0.367961693,3.791844927
17518,-1.75,46.25,77357.50756,34.24,0.124869748,0.663223525,28,1.491136599,0.214433953,15.58473022,0.182332267,2017623.683,0.411647452,3.643241318
17519,-1.25,46.25,374144.5169,21.01,0.083241791,0.699453127,2,1.734140533,0.214433953,15.58473022,0.210697507,36471.08445,0.381404675,3.613454725
17715,-3.25,45.75,293475.504,24.16,0.065694796,0.576742236,94,0.465068824,0.199264533,15.8367648,0.275156813,122063.2636,0.34248161,3.921134207
17716,-2.75,45.75,116812.4546,25.14,0.119095542,0.585589068,115,0.55138407,0.208450436,15.8342452,0.15402834,138880.9663,0.340213998,3.865566565
17717,-2.25,45.75,147896.4237,24.45,0.12729375,0.599625514,93,0.737229083,0.208450436,15.8342452,0.162325783,434904.9142,0.297326247,3.823494236
17718,-1.75,45.75,80219.35903,29.51,0.147042517,0.601211963,59,1.237535881,0.213062378,15.82473108,0.188114962,841528.8051,0.435184707,3.629227553
17719,-1.25,45.75,99478.97037,27.34,0.143664277,0.694492037,8,2.13564944,0.213062378,15.82473108,0.162642721,279336.8554,0.487336026,3.61454191
17916,-2.75,45.25,173614.8529,26.7,0.097487361,0.575516199,160,0.455257157,0.208450436,15.8342452,0.276129029,108197.1248,0.381442911,3.887044426
17917,-2.25,45.25,123715.9401,24.83,0.11318007,0.607577895,107,0.580107494,0.208450436,15.8342452,0.224929783,219756.2854,0.309197028,3.877792233
17918,-1.75,45.25,69463.44737,28.34,0.156271898,0.587237203,73,0.939484896,0.213062378,15.82473108,0.191397057,564424.35,0.338827541,3.711479733
17919,-1.25,45.25,46579.77987,27.58,0.200945748,0.656827464,10,1.786727505,0.213062378,15.82473108,0.20026313,331496.2426,0.418078434,3.600679502
18117,-2.25,44.75,506236.46,35.64,0.036158645,0.626573619,1813,0.479624506,0.206816218,16.25005298,0.273293667,189888.7489,0.360119503,3.836176595
18118,-1.75,44.75,332595.7058,31.56,0.044630763,0.582421059,50,0.615794982,0.209862882,16.24707696,0.211463156,880095.8588,0.3486452,3.84298319
18119,-1.25,44.75,78432.28625,35.52,0.14810866,0.683526648,14,1.477818291,0.209862882,16.24707696,0.276843328,1226691.757,0.492155144,3.623850723
18317,-2.25,44.25,173262.1603,28.13,0.101599182,0.651433869,1015,0.458614316,0.206816218,16.25005298,0.29094873,94702.40139,0.359760805,3.838642651
18318,-1.75,44.25,109128.2304,27.38,0.107425664,0.611943189,92,0.538469219,0.209862882,16.24707696,0.279456643,633077.8664,0.329190537,3.834260227
